% created with mat2arff skript 
% created on: 05-Oct-2018 22:55:22 

@RELATION a 
@ATTRIBUTE var1 NUMERIC
@ATTRIBUTE var2 NUMERIC
@ATTRIBUTE var3 NUMERIC
@ATTRIBUTE var4 NUMERIC
@ATTRIBUTE var5 NUMERIC
@ATTRIBUTE var6 NUMERIC
@ATTRIBUTE var7 NUMERIC
@ATTRIBUTE var8 NUMERIC
@ATTRIBUTE var9 NUMERIC
@ATTRIBUTE var10 NUMERIC
@ATTRIBUTE var11 NUMERIC
@ATTRIBUTE var12 NUMERIC
@ATTRIBUTE var13 NUMERIC
@ATTRIBUTE var14 NUMERIC
@ATTRIBUTE var15 NUMERIC
@ATTRIBUTE var16 NUMERIC
@ATTRIBUTE var17 NUMERIC
@ATTRIBUTE var18 NUMERIC
@ATTRIBUTE var19 NUMERIC
@ATTRIBUTE var20 NUMERIC
@ATTRIBUTE var21 NUMERIC
@ATTRIBUTE var22 NUMERIC
@ATTRIBUTE var23 NUMERIC
@ATTRIBUTE var24 NUMERIC
@ATTRIBUTE var25 NUMERIC
@ATTRIBUTE var26 NUMERIC
@ATTRIBUTE var27 NUMERIC
@ATTRIBUTE var28 NUMERIC
@ATTRIBUTE var29 NUMERIC
@ATTRIBUTE var30 NUMERIC
@ATTRIBUTE var31 NUMERIC
@ATTRIBUTE var32 NUMERIC
@ATTRIBUTE var33 NUMERIC
@ATTRIBUTE var34 NUMERIC
@ATTRIBUTE var35 NUMERIC
@ATTRIBUTE var36 NUMERIC
@ATTRIBUTE var37 NUMERIC
@ATTRIBUTE var38 NUMERIC
@ATTRIBUTE var39 NUMERIC
@ATTRIBUTE var40 NUMERIC
@ATTRIBUTE var41 NUMERIC
@ATTRIBUTE var42 NUMERIC
@ATTRIBUTE var43 NUMERIC
@ATTRIBUTE var44 NUMERIC
@ATTRIBUTE var45 NUMERIC
@ATTRIBUTE var46 NUMERIC
@ATTRIBUTE var47 NUMERIC
@ATTRIBUTE var48 NUMERIC
@ATTRIBUTE var49 NUMERIC
@ATTRIBUTE var50 NUMERIC
@ATTRIBUTE var51 NUMERIC
@ATTRIBUTE var52 NUMERIC
@ATTRIBUTE var53 NUMERIC
@ATTRIBUTE var54 NUMERIC
@ATTRIBUTE var55 NUMERIC
@ATTRIBUTE var56 NUMERIC
@ATTRIBUTE var57 NUMERIC
@ATTRIBUTE var58 NUMERIC
@ATTRIBUTE var59 NUMERIC
@ATTRIBUTE class {0,1} 
@DATA 
2.994010e-02,9.545071e-03,1.357432e-03,8.583861e-03,9.721515e-04,7.250958e-03,8.621747e-04,7.663067e-03,1.289635e-03,4.557598e-03,4.470244e-03,3.851342e-03,3.215519e-03,2.451732e-03,2.820062e-03,4.250170e-03,4.587365e-03,8.893915e-03,4.833853e-03,9.561812e-03,2.290481e-03,4.077088e-03,3.216483e-03,1.221410e-02,5.216958e-03,7.282561e-03,1.035812e-02,6.127187e-03,2.952976e-03,3.888157e-03,9.698205e-03,1.189232e-02,8.117651e-03,1.143661e-02,5.959490e-03,6.136016e-03,2.127837e-03,8.660845e-03,7.508818e-03,1.313930e-02,5.221053e-03,6.144364e-03,5.100945e-03,3.881075e-03,4.218611e-03,6.711500e-03,7.274355e-03,6.691382e-03,6.618093e-03,5.255617e-03,4.801018e-03,4.504241e-03,5.193301e-03,6.692355e-03,6.180911e-03,7.258817e-03,5.817494e-03,9.950387e-01,8.114979e-02,0
3.595131e-02,8.835287e-03,9.629431e-04,9.851404e-03,1.562715e-03,1.230901e-02,1.497741e-03,9.709811e-03,8.902625e-04,3.091158e-03,3.901907e-03,5.168984e-03,5.703599e-03,5.790811e-03,5.565281e-03,3.480091e-03,2.951940e-03,7.974423e-03,5.185078e-03,1.176316e-02,6.045870e-03,1.341502e-02,4.810682e-03,5.867871e-03,2.204591e-03,9.546241e-03,8.701875e-03,1.146272e-02,1.123513e-02,1.102868e-02,6.491660e-03,3.620039e-03,4.686784e-03,1.306093e-02,6.676293e-03,1.616830e-02,7.866754e-03,1.227853e-02,3.275071e-03,6.181011e-03,4.747128e-03,8.193083e-03,8.979375e-03,9.220921e-03,8.528828e-03,5.089302e-03,4.572653e-03,5.087539e-03,5.892348e-03,9.392605e-03,8.191705e-03,9.277416e-03,6.631160e-03,5.533603e-03,5.727222e-03,5.680150e-03,6.391962e-03,9.927079e-01,9.957466e-02,1
3.112050e-02,1.131109e-02,1.340136e-03,9.063849e-03,8.956482e-04,8.895872e-03,8.126660e-04,8.714478e-03,1.271119e-03,4.793473e-03,4.679137e-03,3.929945e-03,3.020685e-03,2.900991e-03,3.368675e-03,4.794473e-03,5.070236e-03,1.140700e-02,5.838214e-03,9.295338e-03,2.238199e-03,5.885770e-03,5.138098e-03,1.369180e-02,5.443022e-03,1.026761e-02,1.207802e-02,5.201587e-03,3.192518e-03,6.763446e-03,1.280363e-02,1.136314e-02,9.738645e-03,1.548003e-02,5.365345e-03,6.688494e-03,2.944024e-03,1.412836e-02,7.624424e-03,1.468076e-02,6.307682e-03,6.518865e-03,5.489368e-03,4.714116e-03,5.323774e-03,8.204240e-03,8.365200e-03,7.736598e-03,7.510777e-03,6.378740e-03,5.866007e-03,6.071324e-03,5.478716e-03,8.800351e-03,7.213045e-03,8.607803e-03,5.495563e-03,9.935048e-01,9.288999e-02,1
3.858009e-02,1.044829e-02,1.109494e-03,1.125439e-02,1.525815e-03,1.427700e-02,1.684051e-03,1.070936e-02,8.366557e-04,3.528577e-03,4.701809e-03,5.479323e-03,5.881736e-03,6.498198e-03,5.861621e-03,3.766719e-03,3.081631e-03,1.090008e-02,6.287419e-03,1.354960e-02,6.612333e-03,1.635292e-02,5.441905e-03,6.722714e-03,2.568074e-03,1.216990e-02,1.168663e-02,1.201522e-02,1.392782e-02,1.372584e-02,7.292200e-03,3.817386e-03,5.811580e-03,1.809312e-02,7.268444e-03,1.892482e-02,9.001426e-03,1.593785e-02,3.330299e-03,8.089632e-03,5.720468e-03,9.171418e-03,9.663220e-03,1.080957e-02,1.006612e-02,5.876396e-03,5.141228e-03,6.715003e-03,7.865182e-03,1.123286e-02,9.163811e-03,1.172664e-02,6.622421e-03,7.071444e-03,6.716191e-03,8.163730e-03,6.715676e-03,9.899017e-01,1.177004e-01,0
2.498251e-02,7.722410e-03,1.096855e-03,7.098778e-03,9.674026e-04,6.429451e-03,7.841976e-04,6.699212e-03,1.047292e-03,3.920490e-03,4.013075e-03,3.856192e-03,3.450204e-03,2.782799e-03,3.072042e-03,3.863575e-03,4.388481e-03,8.430121e-03,4.993388e-03,1.008351e-02,3.212456e-03,5.464728e-03,3.657934e-03,1.161242e-02,5.313966e-03,8.167403e-03,1.118196e-02,8.132029e-03,4.547810e-03,4.969751e-03,9.726999e-03,1.231869e-02,8.565433e-03,1.191605e-02,6.401257e-03,8.460153e-03,3.107173e-03,9.225428e-03,7.599172e-03,1.285914e-02,4.810857e-03,6.091128e-03,5.422851e-03,4.216341e-03,4.446449e-03,6.112847e-03,6.631617e-03,5.952746e-03,5.708122e-03,5.204628e-03,4.481407e-03,4.538671e-03,4.474069e-03,5.671878e-03,5.329986e-03,5.893714e-03,4.679699e-03,9.960876e-01,6.916939e-02,1
2.995771e-02,8.038530e-03,1.137384e-03,8.105935e-03,1.331486e-03,9.238450e-03,1.277849e-03,7.853151e-03,1.016143e-03,3.959053e-03,4.660903e-03,4.748444e-03,4.560141e-03,4.702411e-03,4.796424e-03,3.770546e-03,3.581760e-03,1.101763e-02,5.971033e-03,9.795832e-03,5.387763e-03,1.302972e-02,5.141771e-03,6.518761e-03,3.652081e-03,1.331902e-02,9.897637e-03,8.609019e-03,1.225002e-02,1.237364e-02,7.256912e-03,4.768028e-03,8.373460e-03,1.394780e-02,5.813988e-03,1.270460e-02,8.339142e-03,1.209931e-02,3.920046e-03,8.385060e-03,7.120660e-03,6.644621e-03,6.776854e-03,7.550378e-03,7.294120e-03,5.337750e-03,5.058223e-03,6.139815e-03,6.598484e-03,6.615066e-03,6.488736e-03,6.535142e-03,5.253755e-03,5.296859e-03,5.443166e-03,5.747125e-03,5.509763e-03,9.946723e-01,8.127899e-02,0
1.489348e-02,4.754137e-03,6.702475e-04,4.542890e-03,4.754382e-04,3.778226e-03,4.259930e-04,4.515436e-03,6.374012e-04,2.821768e-03,2.386196e-03,2.042256e-03,1.741035e-03,1.834373e-03,1.794745e-03,2.280514e-03,2.781528e-03,7.083303e-03,2.316280e-03,4.550633e-03,2.131100e-03,4.171587e-03,2.077518e-03,6.762434e-03,4.638586e-03,5.665665e-03,4.025458e-03,4.076455e-03,3.821512e-03,3.242237e-03,4.124914e-03,1.055696e-02,9.105323e-03,6.051232e-03,2.614905e-03,5.938190e-03,2.300361e-03,5.238554e-03,3.697217e-03,1.156763e-02,4.138222e-03,3.042071e-03,2.985787e-03,2.939146e-03,2.942868e-03,3.747127e-03,4.489440e-03,4.370318e-03,3.866509e-03,3.004594e-03,2.407872e-03,3.048285e-03,2.945452e-03,4.000241e-03,3.076890e-03,4.057858e-03,2.900320e-03,9.984323e-01,4.309979e-02,1
1.650916e-02,3.850963e-03,4.787278e-04,4.884229e-03,7.023301e-04,5.170410e-03,6.565368e-04,4.722467e-03,4.289843e-04,1.814130e-03,1.796532e-03,2.634086e-03,2.995898e-03,2.991525e-03,2.414641e-03,1.761007e-03,1.755356e-03,3.951780e-03,2.110011e-03,7.461854e-03,4.607332e-03,6.719630e-03,1.791030e-03,3.698526e-03,2.001017e-03,3.246911e-03,5.264621e-03,9.780799e-03,9.469884e-03,3.640126e-03,2.944668e-03,3.260963e-03,3.647103e-03,5.391981e-03,4.691319e-03,1.166185e-02,3.806448e-03,4.700461e-03,2.017757e-03,5.544754e-03,2.258790e-03,4.067256e-03,4.638536e-03,4.469487e-03,3.817022e-03,2.687458e-03,2.609104e-03,2.759965e-03,2.788165e-03,4.437403e-03,3.274091e-03,4.221342e-03,3.077808e-03,3.006426e-03,2.606636e-03,3.027859e-03,3.389298e-03,9.982827e-01,4.619845e-02,0
6.053805e-02,2.073574e-02,2.368887e-03,1.588153e-02,1.823149e-03,1.669443e-02,1.785100e-03,1.612276e-02,2.568201e-03,8.941394e-03,8.144099e-03,7.311647e-03,6.709723e-03,6.042972e-03,6.814190e-03,9.338786e-03,9.790377e-03,1.817442e-02,9.435703e-03,1.794016e-02,5.089087e-03,1.195596e-02,9.862725e-03,2.434688e-02,9.831299e-03,1.503305e-02,2.045657e-02,1.259216e-02,7.970952e-03,1.348460e-02,2.316917e-02,2.056882e-02,1.679689e-02,2.333108e-02,1.101849e-02,1.420880e-02,6.762439e-03,2.471165e-02,1.519386e-02,2.514550e-02,1.057558e-02,1.185445e-02,1.071839e-02,9.238046e-03,1.003013e-02,1.492978e-02,1.553415e-02,1.366532e-02,1.273688e-02,1.150541e-02,1.160488e-02,1.090641e-02,1.049275e-02,1.527600e-02,1.393653e-02,1.407178e-02,1.036796e-02,9.778455e-01,1.715602e-01,1
5.234549e-02,1.381927e-02,1.814833e-03,1.453149e-02,2.112806e-03,1.666897e-02,2.199876e-03,1.392925e-02,1.602513e-03,5.727034e-03,6.782249e-03,7.267334e-03,7.060817e-03,8.273302e-03,7.624751e-03,5.325167e-03,4.871744e-03,1.661193e-02,8.186582e-03,1.530631e-02,8.039754e-03,2.126953e-02,7.202963e-03,9.159019e-03,4.564622e-03,1.760551e-02,1.367052e-02,1.289890e-02,2.021729e-02,1.754646e-02,9.767495e-03,6.396474e-03,1.148649e-02,2.081575e-02,8.363383e-03,2.163085e-02,1.289956e-02,1.855042e-02,5.042387e-03,1.258763e-02,9.980782e-03,1.124914e-02,1.117591e-02,1.290487e-02,1.197257e-02,7.904456e-03,7.418017e-03,9.459887e-03,1.082885e-02,1.231039e-02,1.085790e-02,1.317582e-02,9.374972e-03,9.028216e-03,9.058415e-03,1.044593e-02,9.573511e-03,9.839131e-01,1.465625e-01,0
