Payment_Date,Payment_Total
2018-01-07 05:00:00,1033.4475
2018-01-07 06:00:00,811.0375
2018-01-07 07:00:00,176.69773
2018-01-07 08:00:00,922.897885
2018-01-07 09:00:00,2563.580115
2018-01-07 10:00:00,3168.71023
2018-01-07 11:00:00,3627.72123
2018-01-07 12:00:00,5230.71773
2018-01-07 13:00:00,6394.7475
2018-01-07 14:00:00,5429.322799
2018-01-07 15:00:00,5595.958075
2018-01-07 16:00:00,6868.594075
2018-01-07 17:00:00,6008.347615
2018-01-07 18:00:00,5725.942
2018-01-07 19:00:00,7581.845925
2018-01-07 20:00:00,11038.057075
2018-01-07 21:00:00,11855.06227
2018-01-07 22:00:00,13495.95219
2018-01-07 23:00:00,12805.13523
2018-01-08 00:00:00,9843.689615
2018-01-08 01:00:00,3903.1575
2018-01-08 02:00:00,1428.87477
2018-01-08 03:00:00,442.0025
2018-01-08 04:00:00,845.4225
2018-01-08 05:00:00,633.305
2018-01-08 06:00:00,291.697385
2018-01-08 07:00:00,195.7875
2018-01-08 08:00:00,890.905115
2018-01-08 09:00:00,2703.21346
2018-01-08 10:00:00,5067.762615
2018-01-08 11:00:00,5924.800345
2018-01-08 12:00:00,7842.655345
2018-01-08 13:00:00,7416.75273
2018-01-08 14:00:00,8193.451345
2018-01-08 15:00:00,6356.2224885
2018-01-08 16:00:00,6020.30796
2018-01-08 17:00:00,6056.3485
2018-01-08 18:00:00,5885.930345
2018-01-08 19:00:00,8546.2825
2018-01-08 20:00:00,10998.37023
2018-01-08 21:00:00,12507.69923
2018-01-08 22:00:00,11474.20527
2018-01-08 23:00:00,13616.621345
2018-01-09 00:00:00,8228.272885
2018-01-09 01:00:00,2781.320885
2018-01-09 02:00:00,1750.127615
2018-01-09 03:00:00,575.632615
2018-01-09 04:00:00,757.5625
2018-01-09 05:00:00,444.7625
2018-01-09 06:00:00,658.8925
2018-01-09 07:00:00,1174.8975
2018-01-09 08:00:00,900.2775
2018-01-09 09:00:00,4794.46592
2018-01-09 10:00:00,6639.007316
2018-01-09 11:00:00,6579.57596
2018-01-09 12:00:00,7486.90296
2018-01-09 13:00:00,5787.93873
2018-01-09 14:00:00,7302.385299
2018-01-09 15:00:00,7152.769655
2018-01-09 16:00:00,8663.2605
2018-01-09 17:00:00,6320.5955
2018-01-09 18:00:00,4954.533385
2018-01-09 19:00:00,7803.611925
2018-01-09 20:00:00,9528.90046
2018-01-09 21:00:00,10374.460615
2018-01-09 22:00:00,9488.880506
2018-01-09 23:00:00,8856.867025
2018-01-10 00:00:00,6351.921615
2018-01-10 01:00:00,4171.04977
2018-01-10 02:00:00,962.78
2018-01-10 03:00:00,1193.75727
2018-01-10 04:00:00,131.79
2018-01-10 05:00:00,279.91
2018-01-10 06:00:00,1159.71635
2018-01-10 07:00:00,482.3675
2018-01-10 08:00:00,1189.61773
2018-01-10 09:00:00,3366.981385
2018-01-10 10:00:00,5172.285885
2018-01-10 11:00:00,7765.08796
2018-01-10 12:00:00,6214.944655
2018-01-10 13:00:00,6511.17373
2018-01-10 14:00:00,8679.41892
2018-01-10 15:00:00,7672.05273
2018-01-10 16:00:00,6350.207885
2018-01-10 17:00:00,6655.63627
2018-01-10 18:00:00,5677.95273
2018-01-10 19:00:00,6076.3926205
2018-01-10 20:00:00,12731.86919
2018-01-10 21:00:00,10729.695845
2018-01-10 22:00:00,16225.223891
2018-01-10 23:00:00,12117.14842
2018-01-11 00:00:00,7098.133109
2018-01-11 01:00:00,4045.2975
2018-01-11 02:00:00,1299.6725
2018-01-11 03:00:00,658.604885
2018-01-11 04:00:00,969.22
2018-01-11 05:00:00,588.9495
2018-01-11 06:00:00,84.87
2018-01-11 07:00:00,213.72773
2018-01-11 08:00:00,2887.592546
2018-01-11 09:00:00,2983.72077
2018-01-11 10:00:00,5252.7975
2018-01-11 11:00:00,5565.0225
2018-01-11 12:00:00,5394.190345
2018-01-11 13:00:00,6908.682431
2018-01-11 14:00:00,6260.94454
2018-01-11 15:00:00,7079.37723
2018-01-11 16:00:00,8436.745
2018-01-11 17:00:00,6649.3579255
2018-01-11 18:00:00,6522.869
2018-01-11 19:00:00,5959.634121
2018-01-11 20:00:00,10264.29073
2018-01-11 21:00:00,14543.980655
2018-01-11 22:00:00,15560.74131
2018-01-11 23:00:00,15130.871149
2018-01-12 00:00:00,11991.18777
2018-01-12 01:00:00,5139.441494
2018-01-12 02:00:00,2684.3875
2018-01-12 03:00:00,903.325
2018-01-12 04:00:00,52.555
2018-01-12 05:00:00,323.667454
2018-01-12 06:00:00,109.0775
2018-01-12 07:00:00,530.954885
2018-01-12 08:00:00,1731.209885
2018-01-12 09:00:00,4728.041
2018-01-12 10:00:00,5055.45727
2018-01-12 11:00:00,8986.961672
2018-01-12 12:00:00,8697.437856
2018-01-12 13:00:00,10180.271155
2018-01-12 14:00:00,16734.592655
2018-01-12 15:00:00,12317.59733
2018-01-12 16:00:00,10290.15308
2018-01-12 17:00:00,10371.503965
2018-01-12 18:00:00,9565.057725
2018-01-12 19:00:00,11903.1889765
2018-01-12 20:00:00,15501.965086
2018-01-12 21:00:00,16775.877425
2018-01-12 22:00:00,19583.29204
2018-01-12 23:00:00,17117.73804
